,year,gender,job_satisfaction,gender_label,satisfaction_label,decade
31,1972,2,1,Female,Very Satisfied,1970
89,1972,2,4,Female,Very Dissatisfied,1970
152,1972,2,1,Female,Very Satisfied,1970
167,1972,2,2,Female,Moderately Satisfied,1970
223,1972,2,3,Female,A Little Dissatisfied,1970
230,1972,2,3,Female,A Little Dissatisfied,1970
373,1972,2,2,Female,Moderately Satisfied,1970
481,1972,2,2,Female,Moderately Satisfied,1970
495,1972,2,1,Female,Very Satisfied,1970
511,1972,2,1,Female,Very Satisfied,1970
588,1972,2,2,Female,Moderately Satisfied,1970
691,1972,2,2,Female,Moderately Satisfied,1970
760,1972,2,3,Female,A Little Dissatisfied,1970
761,1972,2,1,Female,Very Satisfied,1970
821,1972,1,2,Male,Moderately Satisfied,1970
948,1972,1,1,Male,Very Satisfied,1970
949,1972,2,1,Female,Very Satisfied,1970
1009,1972,2,4,Female,Very Dissatisfied,1970
1198,1972,2,1,Female,Very Satisfied,1970
1219,1972,2,1,Female,Very Satisfied,1970
1223,1972,2,1,Female,Very Satisfied,1970
1279,1972,2,1,Female,Very Satisfied,1970
1346,1972,2,2,Female,Moderately Satisfied,1970
1434,1972,1,1,Male,Very Satisfied,1970
1477,1972,1,1,Male,Very Satisfied,1970
1488,1972,2,3,Female,A Little Dissatisfied,1970
1521,1972,2,2,Female,Moderately Satisfied,1970
1606,1972,1,2,Male,Moderately Satisfied,1970
1635,1973,2,1,Female,Very Satisfied,1970
1650,1973,2,2,Female,Moderately Satisfied,1970
1726,1973,1,1,Male,Very Satisfied,1970
1746,1973,1,1,Male,Very Satisfied,1970
1763,1973,1,2,Male,Moderately Satisfied,1970
1775,1973,1,2,Male,Moderately Satisfied,1970
1783,1973,2,2,Female,Moderately Satisfied,1970
1832,1973,2,1,Female,Very Satisfied,1970
1876,1973,2,1,Female,Very Satisfied,1970
1894,1973,2,2,Female,Moderately Satisfied,1970
1899,1973,1,1,Male,Very Satisfied,1970
1911,1973,2,1,Female,Very Satisfied,1970
1914,1973,2,2,Female,Moderately Satisfied,1970
1927,1973,2,1,Female,Very Satisfied,1970
1931,1973,2,1,Female,Very Satisfied,1970
2002,1973,2,2,Female,Moderately Satisfied,1970
2060,1973,2,1,Female,Very Satisfied,1970
2066,1973,2,4,Female,Very Dissatisfied,1970
2102,1973,1,2,Male,Moderately Satisfied,1970
2133,1973,2,1,Female,Very Satisfied,1970
2155,1973,2,1,Female,Very Satisfied,1970
2179,1973,2,2,Female,Moderately Satisfied,1970
2223,1973,2,2,Female,Moderately Satisfied,1970
2233,1973,2,2,Female,Moderately Satisfied,1970
2238,1973,2,4,Female,Very Dissatisfied,1970
2273,1973,2,2,Female,Moderately Satisfied,1970
2297,1973,1,3,Male,A Little Dissatisfied,1970
2311,1973,2,1,Female,Very Satisfied,1970
2347,1973,2,1,Female,Very Satisfied,1970
2377,1973,2,2,Female,Moderately Satisfied,1970
2580,1973,1,1,Male,Very Satisfied,1970
2608,1973,1,4,Male,Very Dissatisfied,1970
2626,1973,2,3,Female,A Little Dissatisfied,1970
2628,1973,2,2,Female,Moderately Satisfied,1970
2646,1973,2,2,Female,Moderately Satisfied,1970
2676,1973,2,1,Female,Very Satisfied,1970
2680,1973,2,1,Female,Very Satisfied,1970
2698,1973,2,1,Female,Very Satisfied,1970
2709,1973,1,1,Male,Very Satisfied,1970
2763,1973,2,2,Female,Moderately Satisfied,1970
2779,1973,1,1,Male,Very Satisfied,1970
2845,1973,2,1,Female,Very Satisfied,1970
2847,1973,1,2,Male,Moderately Satisfied,1970
2851,1973,1,2,Male,Moderately Satisfied,1970
2906,1973,2,1,Female,Very Satisfied,1970
3001,1973,2,2,Female,Moderately Satisfied,1970
3063,1973,2,1,Female,Very Satisfied,1970
3145,1974,2,1,Female,Very Satisfied,1970
3166,1974,2,1,Female,Very Satisfied,1970
3176,1974,2,1,Female,Very Satisfied,1970
3206,1974,2,2,Female,Moderately Satisfied,1970
3236,1974,2,2,Female,Moderately Satisfied,1970
3267,1974,1,4,Male,Very Dissatisfied,1970
3292,1974,1,1,Male,Very Satisfied,1970
3306,1974,2,1,Female,Very Satisfied,1970
3376,1974,2,2,Female,Moderately Satisfied,1970
3391,1974,2,1,Female,Very Satisfied,1970
3460,1974,1,1,Male,Very Satisfied,1970
3465,1974,1,1,Male,Very Satisfied,1970
3535,1974,1,1,Male,Very Satisfied,1970
3553,1974,2,1,Female,Very Satisfied,1970
3568,1974,2,2,Female,Moderately Satisfied,1970
3590,1974,2,2,Female,Moderately Satisfied,1970
3659,1974,2,3,Female,A Little Dissatisfied,1970
3683,1974,2,1,Female,Very Satisfied,1970
